instance,mechanism_key,seed,makespan,iterations,elapsed
VFR400_20_10_Gap,adaptive,0,23632,1,5.021316766738892
VFR200_40_10_Gap,adaptive,0,14721,1,11.829832077026367
VFR300_20_10_Gap,adaptive,0,18620,1,5.007683038711548
VFR400_40_10_Gap,adaptive,0,26314,1,25.067822694778442
VFR200_20_10_Gap,adaptive,0,12851,1,5.00648307800293
VFR300_40_10_Gap,adaptive,0,20546,1,18.369327783584595
VFR100_60_10_Gap,adaptive,0,10169,1,21.01794409751892
VFR400_60_10_Gap,adaptive,0,28403,1,83.44191002845764
VFR300_60_10_Gap,adaptive,0,22550,1,66.5066499710083
VFR100_40_10_Gap,adaptive,0,8612,1,6.2489941120147705
VFR200_60_10_Gap,adaptive,0,16440,1,45.17688822746277
VFR100_20_10_Gap,adaptive,0,7027,1,5.0051960945129395
