instance,mechanism,run,iter,elapsed,best_makespan,seed
VFR400_40_10_Gap,fixed,0,1,10.312830924987793,26301,42
VFR400_40_10_Gap,fixed,0,2,12.135676145553589,26301,42
VFR400_40_10_Gap,fixed,0,3,14.266832113265991,26301,42
VFR400_40_10_Gap,fixed,0,4,15.941424131393433,26301,42
VFR400_40_10_Gap,fixed,0,5,17.551204919815063,26301,42
VFR400_40_10_Gap,fixed,0,6,19.123312950134277,26301,42
VFR400_40_10_Gap,fixed,0,7,20.637118816375732,26301,42
VFR400_40_10_Gap,fixed,0,8,22.174013137817383,26301,42
VFR400_40_10_Gap,fixed,0,9,23.790471076965332,26301,42
VFR400_40_10_Gap,fixed,0,10,25.349846839904785,26301,42
